Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-SMD_MY-2032-08,1,Battery-Holder_Coin-Cell_CR2032_Linx_BAT-HLD-001,C964832
"C1, C2",C_0805,2,100nF,C28233
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED-SMD_L1.7-W1.1-RD_RED-SIDE,20,XL-1606UYC,C965862
"LED21, LED22",LED-SMD_L1.7-W1.1-RD_RED-SIDE,2,XL-1606UOC,C965861
"LED23, LED24",LED-SMD_L1.7-W1.1-RD_RED-SIDE,2,XL-1606SURC,C965860
MIC1,MIC-SMD_3P-L2.8-W1.9_ZTS6056,1,ZTS6156,C481301
"Q1, Q10, Q2, Q3, Q4, Q5, Q7, Q8, Q9",SOT23-3,9,CJ3400,C19019
"R1, R2, R3, R4, R5, R6",R_Array_Convex_4x0402,6,10kΩ,C25725
U1,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,C507118
U2,DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm,1,ST25DV04K-IER8C3,C5221756
