Designator,Mid X,Mid Y,Rotation,Layer
BT1,115.0,-94.587078,90.0,bottom
C1,192.6,-75.312655,90.0,bottom
C2,115.0,-81.412655,180.0,bottom
LED1,114.4,-64.157104,180.0,bottom
LED10,156.039088,-63.118017,225.0,bottom
LED11,156.039087,-70.896192,315.0,bottom
LED12,148.19,-70.922655,45.0,bottom
LED13,158.935913,-63.118016,135.0,bottom
LED14,166.714088,-63.118017,225.0,bottom
LED15,166.714087,-70.896192,315.0,bottom
LED16,158.935912,-70.896191,45.0,bottom
LED17,169.435913,-63.118016,135.0,bottom
LED18,177.214088,-63.118017,225.0,bottom
LED19,177.214087,-70.896192,315.0,bottom
LED2,114.4,-71.057104,0.0,bottom
LED20,169.435912,-70.896191,45.0,bottom
LED21,179.842407,-62.161139,135.0,bottom
LED22,188.544062,-62.161137,225.0,bottom
LED23,188.544062,-70.862794,315.0,bottom
LED24,179.842406,-70.862793,45.0,bottom
LED3,122.0,-63.504603,180.0,bottom
LED4,122.0,-71.409604,0.0,bottom
LED5,131.15,-63.504603,180.0,bottom
LED6,131.15,-71.409604,0.0,bottom
LED7,140.2,-62.882104,180.0,bottom
LED8,140.2,-71.832104,0.0,bottom
LED9,148.260913,-63.118016,135.0,bottom
MIC1,190.35,-75.302655,180.0,bottom
Q1,114.4,-75.312655,90.0,bottom
Q10,182.2,-75.312655,90.0,bottom
Q2,122.0,-75.312655,90.0,bottom
Q3,131.15,-75.312655,90.0,bottom
Q4,140.2,-75.312655,90.0,bottom
Q5,152.15,-75.312655,90.0,bottom
Q7,162.825,-75.312655,90.0,bottom
Q8,173.325,-75.312655,90.0,bottom
Q9,186.45,-75.312655,90.0,bottom
R1,118.05,-59.037078,0.0,bottom
R2,135.45,-59.037078,0.0,bottom
R3,152.15,-59.037078,0.0,bottom
R4,162.825,-59.037078,0.0,bottom
R5,173.325,-59.037078,0.0,bottom
R6,184.164116,-59.037078,0.0,bottom
U1,125.8,-81.412655,135.0,bottom
U2,191.49,-79.300155,270.0,bottom
